ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga
2337,Facebook,2026-07-21,USER_2337,sin llorar narizón come burro Anda pasha a meserear,sin llorar narizón come burro Anda pasha a meserear,sin llorar narizon come burro anda pasha a meserear,Discurso de Odio,2,Xenofobia,Argentinos,NO,NO,NO,51,9,0,0,0,1
1206,Facebook,2026-06-26,USER_1206,"Bien culiada volvió, y el marido bien pdjo...jajaja","Bien culiada volvió, y el marido bien pdjo...jajaja",bien culiada volvio y el marido bien pdjo jajaja,Lenguaje Ofensivo,1,Palabras Obscenas,Persona Individual,SÍ,NO,NO,51,8,0,0,0,0
435,X,2026-07-14,USER_435,"El ESTADO tiene OBLIGACIÓN de protejer a los pobladores y la frontera.MARERO VISTO, MARERO MUERTO!!","El ESTADO tiene OBLIGACIÓN de protejer a los pobladores y la frontera.MARERO VISTO, MARERO MUERTO!!",el estado tiene obligacion de protejer a los pobladores y la frontera marero visto marero muerto,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,SÍ,99,15,0,0,0,2
2540,Facebook,2026-07-20,USER_2540,"No da risa vivir en la mierda, mi todo comediante ??Eres el hijo perdido de franco Escamilla","No da risa vivir en la mierda, mi todo comediante ??Eres el hijo perdido de franco Escamilla",no da risa vivir en la mierda mi todo comediante eres el hijo perdido de franco escamilla,Lenguaje Ofensivo,1,Insulto Directo,Personas en situación de pobreza,NO,NO,NO,92,17,0,0,0,1
2452,Facebook,2026-07-23,USER_2452,Ygual sigue de simio,Ygual sigue de simio,ygual sigue de simio,Discurso de Odio,2,Racismo,Personas morenas,NO,NO,NO,20,4,0,0,0,0
1150,Facebook,2026-06-25,USER_1150,Muy malcriada esa señora se pasaba de malcrida,Muy malcriada esa señora se pasaba de malcrida,muy malcriada esa senora se pasaba de malcrida,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,46,8,0,0,0,0
460,X,2026-07-14,USER_460,"A mi el corona virus me vale verga, pero va matar varias nanas de mareros y por eso lo respeto.","A mi el corona virus me vale verga, pero va matar varias nanas de mareros y por eso lo respeto.",a mi el corona virus me vale verga pero va matar varias nanas de mareros y por eso lo respeto,Amenazas/Violencia,3,Celebración de Violencia,Familiares de mareros,NO,NO,NO,95,20,0,0,0,3
3019,X,2026-05-30,USER_3019,A dónde? Nadie quiere negros de mierda Cuidado,A dónde? Nadie quiere negros de mierda Cuidado,a donde nadie quiere negros de mierda cuidado,Discurso de Odio,2,Racismo,Personas negras o racializadas,NO,NO,NO,46,8,0,0,0,2
66,X,2026-07-13,USER_066,"#DeportesSV El delantero salvadoreño Styven Vásquez, ya esta en México, para incorparse con nuevo club Irapuato de La Liga de Expansión mexicana. #ConDiosyConlaTrinca","#DeportesSV El delantero salvadoreño Styven Vásquez, ya esta en México, para incorparse con nuevo club Irapuato de La Liga de Expansión mexicana. #ConDiosyConlaTrinca",deportessv el delantero salvadoreno styven vasquez ya esta en mexico para incorparse con nuevo club irapuato de la liga de expansion mexicana condiosyconlatrinca,No Tóxico,0,,,NO,NO,NO,166,23,0,0,2,1
1466,Facebook,2026-06-14,USER_1466,Y vos PERRO Paul Monroy 503 PARASITO SIEMPRE LAMBIÉNDOLE LOS 🥚ARENAFRENTE MISERABLE NUNCA HAS LOGRADO NADA BASURA,Y vos PERRO Paul Monroy 503 PARASITO SIEMPRE LAMBIÉNDOLE LOS :huevo: ARENAFRENTE MISERABLE NUNCA HAS LOGRADO NADA BASURA,y vos perro paul monroy parasito siempre lambiendole los arenafrente miserable nunca has logrado nada basura,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,113,17,1,0,0,3
594,Facebook,2026-07-14,USER_594,ACASO HABRÁ MAREJADA AHÍ ???,ACASO HABRÁ MAREJADA AHÍ ???,acaso habra marejada ahi,No Tóxico,0,,,NO,NO,NO,28,5,0,0,0,0
785,Facebook,2026-07-18,USER_785,Topen esa marera pues,Topen esa marera pues,topen esa marera pues,Amenazas/Violencia,3,Incitación a la Violencia,Individuo,NO,NO,NO,21,4,0,0,0,1
2957,X,2026-06-28,USER_2957,"Vaya, al parecer todos estamos de acuerdo en algo: Venezolanos de mierda, regresen a su país","Vaya, al parecer todos estamos de acuerdo en algo: Venezolanos de mierda, regresen a su país",vaya al parecer todos estamos de acuerdo en algo venezolanos de mierda regresen a su pais,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,92,16,0,0,0,1
2718,X,2026-07-09,USER_2718,Pero viven como el culo porque son un país de indios de mierda,Pero viven como el culo porque son un país de indios de mierda,pero viven como el culo porque son un pais de indios de mierda,Discurso de Odio,2,Racismo,Personas indigenas,NO,NO,NO,62,13,0,0,0,4
22,X,2026-07-13,USER_022,Listos para perderse en la naturaleza? El Laberinto de Albania en Apaneca es el destino perfecto para quienes buscan un desafío divertido rodeado de paisajes increíbles. ¡Una parada obligatoria en la Ruta de las Flores! #ElSalvador #TurismoSV #Apaneca #LaberintoAlbania,Listos para perderse en la naturaleza? El Laberinto de Albania en Apaneca es el destino perfecto para quienes buscan un desafío divertido rodeado de paisajes increíbles. ¡Una parada obligatoria en la Ruta de las Flores! #ElSalvador #TurismoSV #Apaneca #LaberintoAlbania,listos para perderse en la naturaleza el laberinto de albania en apaneca es el destino perfecto para quienes buscan un desafio divertido rodeado de paisajes increibles una parada obligatoria en la ruta de las flores elsalvador turismosv apaneca laberintoalbania,No Tóxico,0,,,NO,NO,NO,269,39,0,0,4,0
1238,Facebook,2026-06-26,USER_1238,Inmensa es la vergha que nos vale 🤣😂🤣😂🤣,Inmensa es la vergha que nos vale :cara_revolviéndose_de_la_risa: :cara_llorando_de_risa: :cara_revolviéndose_de_la_risa: :cara_llorando_de_risa: :cara_revolviéndose_de_la_risa:,inmensa es la vergha que nos vale,Lenguaje Ofensivo,1,Palabras Obscenas,,NO,NO,NO,39,8,5,0,0,0
234,X,2026-07-14,USER_234,"Sold Out en el Intercontinental, 35 millones de gracias ! Nos vemos pronto con el nuevo sencillo #prueba35 #musicaSv","Sold Out en el Intercontinental, 35 millones de gracias ! Nos vemos pronto con el nuevo sencillo #prueba35 #musicaSv",sold out en el intercontinental millones de gracias nos vemos pronto con el nuevo sencillo prueba musicasv,No Tóxico,0,,,NO,NO,NO,116,19,0,0,2,1
2449,Facebook,2026-07-21,USER_2449,De mico a mono,De mico a mono,de mico a mono,Discurso de Odio,2,Racismo,Personas morenas,NO,NO,NO,14,4,0,0,0,1
2027,X,2026-06-14,USER_2027,Ni entre varios pueden con los cojones de Gavi.,Ni entre varios pueden con los cojones de Gavi.,ni entre varios pueden con los cojones de gavi,No Tóxico,0,,,NO,NO,NO,47,9,0,0,0,1
3021,X,2026-06-13,USER_3021,"Por esto cuando los argentinos decimos ""negros de mierda"" nos podemos referir a un tipo rubio de ojos celestes que no sabe leer y vive en casa de barro","Por esto cuando los argentinos decimos ""negros de mierda"" nos podemos referir a un tipo rubio de ojos celestes que no sabe leer y vive en casa de barro",por esto cuando los argentinos decimos negros de mierda nos podemos referir a un tipo rubio de ojos celestes que no sabe leer y vive en casa de barro,No Tóxico,0,,Personas negras o racializadas,NO,NO,NO,151,29,0,0,0,2
2963,X,2026-06-05,USER_2963,"Venezolanos de mierda, solo en mancha les gusta atacar ya que solos nunca pueden","Venezolanos de mierda, solo en mancha les gusta atacar ya que solos nunca pueden",venezolanos de mierda solo en mancha les gusta atacar ya que solos nunca pueden,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,80,14,0,0,0,1
886,Facebook,2026-07-20,USER_886,Pudranse hdp,Pudranse hdp,pudranse hdp,Amenazas/Violencia,3,Deseo de Daño,Señalados (corruptos/empresa),NO,NO,NO,12,2,0,0,0,1
854,Facebook,2026-07-19,USER_854,Miguel Torres exactamente…. Por lo menos q regresen un poco del sufrimiento q han hecho,Miguel Torres exactamente…. Por lo menos q regresen un poco del sufrimiento q han hecho,miguel torres exactamente por lo menos q regresen un poco del sufrimiento q han hecho,Amenazas/Violencia,3,Deseo de Daño,Reos/delincuentes,NO,NO,NO,87,15,0,0,0,0
1969,X,2026-06-14,USER_1969,"Jajajajaja es de El Salvador, cabron","Jajajajaja es de El Salvador, cabron",jajajajaja es de el salvador cabron,No Tóxico,0,,Persona Individual,SÍ,NO,SÍ,36,6,0,0,0,0
2464,Facebook,2026-07-22,USER_2464,Corte de microbusero veterano,Corte de microbusero veterano,corte de microbusero veterano,Lenguaje Ofensivo,1,Clasismo,Microbuseros,NO,NO,NO,29,4,0,0,0,0
1807,X,2026-06-07,USER_1807,"Pinche pelón de mierda, dedícate a otra cosa","Pinche pelón de mierda, dedícate a otra cosa",pinche pelon de mierda dedicate a otra cosa,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,44,8,0,0,0,2
272,X,2026-07-14,USER_272,"A la mierd4 los mareros como vos maje, que se pudran en el cecot","A la mierd4 los mareros como vos maje, que se pudran en el cecot",a la mierd los mareros como vos maje que se pudran en el cecot,Amenazas/Violencia,3,Deseo de Daño,Individuo/Pandilleros,NO,NO,NO,64,14,0,0,0,3
1215,Facebook,2026-06-26,USER_1215,"Antes de que ese embrión crezca, hay que eliminarlo de raíz, dejémonos de culeradas!!!","Antes de que ese embrión crezca, hay que eliminarlo de raíz, dejémonos de culeradas!!!",antes de que ese embrion crezca hay que eliminarlo de raiz dejemonos de culeradas,Lenguaje Ofensivo,1,Palabras Obscenas,,SÍ,NO,NO,86,14,0,0,0,0
550,Facebook,2026-07-14,USER_550,Comen de nosotros xd,Comen de nosotros xd,comen de nosotros xd,No Tóxico,0,,,NO,SÍ,NO,20,4,0,0,0,0
402,X,2026-07-14,USER_402,Malditos Malditos Malditos Malditos Malditos Malditos Malditos Malditos mareros hdmp cobardes de mierda deberian ser quemados asi como lo hicieron con esas personas inocentes Malditos,Malditos Malditos Malditos Malditos Malditos Malditos Malditos Malditos mareros hdmp cobardes de mierda deberian ser quemados asi como lo hicieron con esas personas inocentes Malditos,malditos malditos malditos malditos malditos malditos malditos malditos mareros hdmp cobardes de mierda deberian ser quemados asi como lo hicieron con esas personas inocentes malditos,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,NO,183,25,0,0,0,3
2306,Facebook,2026-07-22,USER_2306,Te piso algún hondureño pareces indu serote ??????????,Te piso algún hondureño pareces indu serote ??????????,te piso algun hondureno pareces indu serote,Discurso de Odio,2,Racismo,Hondureños,NO,NO,NO,54,8,0,0,0,1
2989,X,2026-06-27,USER_2989,wacho. pfff...NEGROS DE MIERDA. villero de mierda el bolita.,wacho. pfff...NEGROS DE MIERDA. villero de mierda el bolita.,wacho pfff negros de mierda villero de mierda el bolita,Discurso de Odio,2,Racismo,Personas negras o racializadas,NO,NO,NO,60,9,0,0,0,2
67,X,2026-07-13,USER_067,"#DeportesSV Despues de 12 años, 6 meses y 23 días: Luis Angel Firpo vuelve hacer campeón.","#DeportesSV Despues de 12 años, 6 meses y 23 días: Luis Angel Firpo vuelve hacer campeón.",deportessv despues de anos meses y dias luis angel firpo vuelve hacer campeon,No Tóxico,0,,,NO,NO,NO,89,16,0,0,1,0
2581,Facebook,2026-07-26,USER_2581,"Las focas no tienen otra palabra en su cerebro, que te esperas","Las focas no tienen otra palabra en su cerebro, que te esperas",las focas no tienen otra palabra en su cerebro que te esperas,Lenguaje Ofensivo,1,Insulto Directo,Personas con discapacidad,NO,NO,NO,62,12,0,0,0,1
2901,X,2026-06-06,USER_2901,"así es en todo Europa, si son buenos futbolistas los hacen parte sino son unos inmigrantes de mierda, dicho x ejemplo x Hakimi... dsps nos vienen a contar las costillas a los argentinos cuando acá te tomas un mate aprendes 2 puteadas y ya sos argentino seas negro verde o amarillo","así es en todo Europa, si son buenos futbolistas los hacen parte sino son unos inmigrantes de mierda, dicho x ejemplo x Hakimi... dsps nos vienen a contar las costillas a los argentinos cuando acá te tomas un mate aprendes 2 puteadas y ya sos argentino seas negro verde o amarillo",asi es en todo europa si son buenos futbolistas los hacen parte sino son unos inmigrantes de mierda dicho x ejemplo x hakimi dsps nos vienen a contar las costillas a los argentinos cuando aca te tomas un mate aprendes puteadas y ya sos argentino seas negro verde o amarillo,Discurso de Odio,2,Xenofobia,Personas negras o racializadas,NO,NO,NO,280,51,0,0,0,3
2304,Facebook,2026-07-23,USER_2304,"Cerote champero migrantes para más joder, solo por saltar el muro ya se creen gringos ??","Cerote champero migrantes para más joder, solo por saltar el muro ya se creen gringos ??",cerote champero migrantes para mas joder solo por saltar el muro ya se creen gringos,Discurso de Odio,2,Xenofobia,Migrantes salvadoreños,NO,NO,NO,88,16,0,0,0,2
894,Facebook,2026-07-20,USER_894,El cecot t espera,El cecot t espera,el cecot t espera,Amenazas/Violencia,3,Deseo de Daño,Individuo señalado,NO,NO,NO,17,4,0,0,0,0
730,Facebook,2026-07-14,USER_730,Gracias por garantizar de manera tan maravillosa mi derecho a la información,Gracias por garantizar de manera tan maravillosa mi derecho a la información,gracias por garantizar de manera tan maravillosa mi derecho a la informacion,No Tóxico,0,,,SÍ,NO,NO,76,12,0,0,0,0
2165,Facebook,2026-06-15,USER_2165,"H.construcciones sigues idolatrando el. Deporte de los pobres, muerto de hambre, en el deporte que te ganamos dos finales seguidas, pobre hambriento idolatra el Deporte de los Ingleses dueños de las farklands","H.construcciones sigues idolatrando el. Deporte de los pobres, muerto de hambre, en el deporte que te ganamos dos finales seguidas, pobre hambriento idolatra el Deporte de los Ingleses dueños de las farklands",h construcciones sigues idolatrando el deporte de los pobres muerto de hambre en el deporte que te ganamos dos finales seguidas pobre hambriento idolatra el deporte de los ingleses duenos de las farklands,Discurso de Odio,2,Clasismo,Personas en situación de pobreza o precariedad,SI,SI,NO,208,32,0,0,0,1
768,Facebook,2026-07-18,USER_768,Que caiga todo el peso de la ley contra este perro,Que caiga todo el peso de la ley contra este perro,que caiga todo el peso de la ley contra este perro,Lenguaje Ofensivo,1,Insulto Directo,Individuo,NO,NO,NO,50,11,0,0,0,1
1854,X,2026-06-28,USER_1854,la chucha tengo espasmos en el gemelo que cojones,la chucha tengo espasmos en el gemelo que cojones,la chucha tengo espasmos en el gemelo que cojones,Lenguaje Ofensivo,1,Palabras Obscenas,,NO,NO,NO,49,9,0,0,0,0
1639,X,2026-05-30,USER_1639,Jajaja morite perro lloron,Jajaja morite perro lloron,jajaja morite perro lloron,Amenazas/Violencia,3,Deseo de Dano,Persona Individual,SÍ,NO,NO,26,4,0,0,0,1
1179,Facebook,2026-06-26,USER_1179,Los sobrinos de la RATA correa ……😂😂😂😂😂😂😂,Los sobrinos de la RATA correa …… :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa: :cara_llorando_de_risa:,los sobrinos de la rata correa,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,SÍ,40,7,7,0,0,1
815,Facebook,2026-07-18,USER_815,El cecot lo espera,El cecot lo espera,el cecot lo espera,Amenazas/Violencia,3,Deseo de Daño,Individuo (señalado en el post),NO,NO,NO,18,4,0,0,0,0
582,Facebook,2026-07-14,USER_582,Mi pésame a la familia y amigos,Mi pésame a la familia y amigos,mi pesame a la familia y amigos,No Tóxico,0,,,NO,NO,NO,31,7,0,0,0,0
1684,X,2026-06-02,USER_1684,"Por favor no la vuelvan a mandar ,es una basura y de esas ya tenemos varios aquí!!!","Por favor no la vuelvan a mandar ,es una basura y de esas ya tenemos varios aquí!!!",por favor no la vuelvan a mandar es una basura y de esas ya tenemos varios aqui,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,83,17,0,0,0,1
151,X,2026-07-13,USER_151,"Más de 1,500 productos con rebajas para este verano en Walmart. Desde artículos de playa y parrillas hasta frutas tropicales, mariscos y productos de alacena. Promociones vigentes hasta el 7 de abril, incluso con meses sin intereses. #VeranoSV #RevistaLaG #Empresariales","Más de 1,500 productos con rebajas para este verano en Walmart. Desde artículos de playa y parrillas hasta frutas tropicales, mariscos y productos de alacena. Promociones vigentes hasta el 7 de abril, incluso con meses sin intereses. #VeranoSV #RevistaLaG #Empresariales",mas de productos con rebajas para este verano en walmart desde articulos de playa y parrillas hasta frutas tropicales mariscos y productos de alacena promociones vigentes hasta el de abril incluso con meses sin intereses veranosv revistalag empresariales,No Tóxico,0,,,NO,NO,NO,270,40,0,0,3,1
1306,Facebook,2026-07-11,USER_1306,Busca trabajo hdp para que sepas como cuesta ganarlo y vos solo pidiendo andas mal parido,Busca trabajo hdp para que sepas como cuesta ganarlo y vos solo pidiendo andas mal parido,busca trabajo hdp para que sepas como cuesta ganarlo y vos solo pidiendo andas mal parido,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,89,16,0,0,0,1
2033,X,2026-06-14,USER_2033,"Hoy el panchito villero y marrón de mierda de Enzo Fernández no se va a chulear de nadie, por lo que sea. Como de imbécil tienes que ser para que te expulsen llevando una camiseta de Argentina.","Hoy el panchito villero y marrón de mierda de Enzo Fernández no se va a chulear de nadie, por lo que sea. Como de imbécil tienes que ser para que te expulsen llevando una camiseta de Argentina.",hoy el panchito villero y marron de mierda de enzo fernandez no se va a chulear de nadie por lo que sea como de imbecil tienes que ser para que te expulsen llevando una camiseta de argentina,Discurso de Odio,2,Racismo,Persona Individual,NO,NO,SÍ,193,37,0,0,0,2
2895,X,2026-06-15,USER_2895,@IreneMontero tus inmigrantes de mierda,@usuario tus inmigrantes de mierda,usuario tus inmigrantes de mierda,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,39,5,0,1,0,2
760,Facebook,2026-07-16,USER_760,Pena capital ya,Pena capital ya,pena capital ya,Amenazas/Violencia,3,Deseo de Daño,Pandilleros/Mareros,NO,NO,NO,15,3,0,0,0,0
311,X,2026-07-14,USER_311,"@MisterPoison_SV @elsalvadorcom habría q linchar a los mareros tambien y seria la de nunca acabar, mal en verdad este país.","@usuario @usuario habría q linchar a los mareros tambien y seria la de nunca acabar, mal en verdad este país.",usuario usuario habria q linchar a los mareros tambien y seria la de nunca acabar mal en verdad este pais,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,NO,123,20,0,2,0,1
2650,X,2026-06-24,USER_2650,Venezolanos de mierda. Pudranse en su miseria.,Venezolanos de mierda. Pudranse en su miseria.,venezolanos de mierda pudranse en su miseria,Amenazas/Violencia,3,Deseo de Daño,Personas venezolanas,NO,NO,NO,46,7,0,0,0,1
1279,Facebook,2026-07-12,USER_1279,Y este 0te quien es ? Pense que ya se habia mrto,Y este 0te quien es ? Pense que ya se habia mrto,y este te quien es pense que ya se habia mrto,Lenguaje Ofensivo,1,Insulto Directo,,SÍ,SÍ,NO,48,12,0,0,0,1
